name,industry,current_price,sales,operating_profit,profit_after_tax,net_profit,opm,eps,return_on_capital_employed,roce3yr_avg,sales_growth_3years,sales_growth_5years,profit_growth_3years,profit_growth_5years,eps_growth_3years,eps_growth_5years,sales_growth_10years,profit_growth_10years,eps_growth_10years,debt,net_worth,current_ratio,interest_coverage_ratio,working_capital,cash_equivalents,total_assets,debt_to_profit,leverage,altman_z_score,market_capitalization,price_to_sales,price_to_cash_flow,price_to_free_cash_flow,peg_ratio,evebitda,market_cap_to_sales,enterprise_value_to_ebit,intrinsic_value,graham
63 Moons Tech.,Computers - Software - Medium / Small,378.0,472.0,97.0,210.0,210.0,20.59,48.0,6.7,2.25,43.0,13.0,148.0,52.0,148.0,52.0,-2.0,15.0,15.0,5.0,3347.0,6.12,221.52,1579.0,1283.0,3645.0,0.02,1.06,2.9,1743.0,3.7,37.09,-147.64,0.16,1.92,3.7,2.19,530.0,888.0
7NR Retail Ltd,Trading,5.0,12.0,-1.0,-1.0,-1.0,-11.62,-0.0,-3.12,2.1,61.0,-3.0,,,,,9.0,,,5.0,29.0,4.5,-7.92,33.0,0.0,43.0,-4.75,1.6,2.58,15.0,1.26,-5.12,-1.81,,-26.04,1.26,-19.21,,
7Seas Enter.,Computers - Software - Medium / Small,60.0,12.0,2.0,1.0,1.0,13.91,1.0,18.36,12.58,738.0,126.0,-19.0,16.0,-32.0,15.0,21.0,8.0,8.0,0.0,10.0,12.63,5.68,7.0,1.0,11.0,0.38,0.69,20.09,113.0,9.55,-16.06,-25.29,7.41,68.2,9.55,89.47,17.0,8.0
A B B,Electric Equipment,8556.0,11116.0,1770.0,1463.0,1456.0,15.92,69.0,30.69,23.27,22.0,9.0,93.0,20.0,93.0,20.0,3.0,21.0,21.0,49.0,5945.0,1.9,137.81,4553.0,4816.0,11001.0,0.04,1.71,29.11,181309.0,16.24,133.57,237.85,6.18,84.24,16.24,89.56,1123.0,659.0
A B Infrabuild,Construction,55.0,184.0,24.0,12.0,11.0,13.06,2.0,31.33,19.97,44.0,27.0,97.0,33.0,30.0,-5.0,8.0,28.0,-4.0,21.0,50.0,2.01,4.07,80.0,10.0,157.0,1.88,3.55,5.47,276.0,1.49,27.89,-55.94,0.72,11.55,1.49,13.45,44.0,29.0
A B M Internatl.,Trading,62.0,94.0,-4.0,-3.0,-3.0,-4.77,-4.0,-18.65,-17.05,-10.0,4.0,,-34.0,,,,,,10.0,15.0,1.27,-7.18,17.0,4.0,39.0,-2.94,2.5,5.47,58.0,0.62,-6.06,-9.71,,-16.12,0.62,-15.96,,
A F Enterprises,Trading,11.0,8.0,-1.0,0.0,-0.0,-9.29,0.0,-1.67,2.36,-39.0,,,,13.0,,,,,7.0,33.0,1.34,-3.06,32.0,1.0,135.0,-664.0,4.31,1.15,41.0,4.71,-1334.66,-4.86,,82.0,4.71,-83.49,,
A G Universal,Trading,64.0,78.0,5.0,2.0,2.0,6.14,4.0,17.4,12.91,27.0,,152.0,,-11.0,,,,,15.0,16.0,1.64,2.68,14.0,0.0,48.0,8.06,6.53,3.91,35.0,0.45,-15.4,-8.49,,9.41,0.45,12.43,90.0,50.0
A K Spintex,Textiles - Processing,259.0,117.0,19.0,8.0,8.0,16.18,17.0,28.05,22.13,35.0,14.0,164.0,46.0,164.0,46.0,11.0,35.0,35.0,7.0,39.0,1.1,15.97,8.0,0.0,69.0,0.84,1.65,6.28,131.0,1.11,6.11,80.39,0.34,7.24,1.11,11.34,151.0,171.0
A R C Finance,Finance & Investments,1.0,9.0,1.0,0.0,0.0,7.14,0.0,0.69,1.36,30.0,15.0,14.0,20.0,14.0,20.0,98.0,39.0,-12.0,16.0,51.0,5.94,5.11,21.0,0.0,72.0,59.56,1.39,2.83,59.0,6.4,-95.28,-8.83,11.06,113.44,6.4,162.76,1.0,0.0
A-1 Acid,Trading,346.0,206.0,-0.0,1.0,1.0,-0.15,1.0,4.08,9.72,12.0,8.0,-26.0,-23.0,-26.0,-23.0,,,,11.0,48.0,3.48,3.25,39.0,7.0,64.0,9.76,1.37,15.19,398.0,1.93,36.81,62.63,-15.41,66.34,1.93,162.76,22.0,30.0
A.K.Capital Serv,Finance & Investments,1054.0,519.0,327.0,92.0,93.0,62.97,139.0,9.46,8.91,22.0,4.0,7.0,5.0,7.0,5.0,8.0,10.0,10.0,2754.0,919.0,4.13,1.63,290.0,30.0,3806.0,29.77,3.77,1.13,696.0,1.34,2.04,8.16,1.49,10.45,1.34,10.73,1991.0,2087.0
A2Z Infra Engg.,Engineering - Turnkey Services,22.0,388.0,-89.0,-46.0,-7.0,-22.8,-0.0,-19.96,-11.33,-2.0,-15.0,13.0,,13.0,,-6.0,6.0,7.0,198.0,32.0,0.72,-8.99,29.0,3.0,683.0,-26.9,26.01,1.31,387.0,0.98,4.0,6.01,,-11.35,0.98,-10.3,,
AA Plus Trade,Trading,20.0,20.0,-0.0,1.0,1.0,-0.95,0.0,4.9,3.15,32.0,34.0,60.0,40.0,32.0,8.0,,,,1.0,13.0,2.0,,15.0,0.0,27.0,2.61,1.19,5.1,49.0,2.44,-270.0,-17.46,2.32,65.59,2.44,68.29,6.0,5.0
AAA Technologies,Computers - Software - Medium / Small,111.0,24.0,4.0,3.0,3.0,17.95,2.0,16.12,15.4,29.0,18.0,41.0,9.0,41.0,-37.0,6.0,36.0,3.0,0.0,28.0,19.53,,26.0,21.0,29.0,0.0,1.02,11.32,142.0,5.88,18.08,28.2,4.7,23.13,5.88,27.76,74.0,35.0
Aadhar Hsg. Fin.,Finance - Housing,413.0,2587.0,1967.0,750.0,750.0,76.04,19.0,11.36,10.5,18.0,15.0,30.0,34.0,30.0,-23.0,,,,13960.0,4450.0,2.39,1.97,913.0,1273.0,19093.0,18.62,4.01,2.35,17619.0,6.87,-7.32,-11.78,0.69,15.49,6.87,15.66,,
Aadi Industries,Plastics Products,7.0,0.0,-0.0,-0.0,-0.0,,-0.0,-40.82,-52.89,,,6.0,10.0,6.0,10.0,,7.0,7.0,7.0,-7.0,0.03,,0.0,0.0,0.0,-75.89,-0.05,7.56,7.0,,76.22,-55.62,,-151.11,,-136.0,,
Aakash Explor.,Oil Drilling / Allied Services,14.0,92.0,17.0,6.0,6.0,18.56,1.0,13.27,13.31,16.0,12.0,15.0,13.0,15.0,13.0,,,,18.0,59.0,1.21,5.71,18.0,1.0,94.0,2.92,1.51,4.89,143.0,1.55,14.04,895.62,1.72,9.07,1.55,15.81,14.0,9.0
Aananda Lakshmi,Construction,15.0,2.0,2.0,6.0,4.0,86.19,12.0,207.33,74.92,-33.0,-7.0,51.0,35.0,51.0,35.0,-33.0,22.0,8.0,21.0,-18.0,1.29,,3.0,0.0,13.0,5.24,-0.64,0.53,5.0,2.43,1.47,0.95,0.02,4.45,2.43,4.45,,
Aanchal Ispat,Steel - Medium / Small,6.0,109.0,-3.0,-6.0,-6.0,-3.15,-3.0,-3.93,-7.82,-3.0,-21.0,-6.0,,-6.0,,-5.0,,,84.0,17.0,0.82,-1.15,67.0,6.0,117.0,-13.46,6.79,1.88,13.0,0.12,2.04,4.24,,-26.7,0.12,-22.53,,
Aarey Drugs,Pharmaceuticals - Indian - Bulk Drugs,46.0,396.0,4.0,5.0,5.0,1.13,2.0,4.44,6.96,4.0,2.0,-10.0,-6.0,-13.0,-8.0,7.0,16.0,11.0,31.0,133.0,1.68,4.14,142.0,2.0,305.0,6.7,2.25,3.16,116.0,0.3,-45.52,-48.14,-3.88,12.88,0.3,20.9,28.0,47.0
Aarnav Fashions,Textiles - Products,48.0,356.0,27.0,6.0,6.0,7.62,1.0,6.71,6.15,13.0,196.0,5.0,99.0,-26.0,17.0,,,13.0,109.0,179.0,1.49,1.62,172.0,4.0,391.0,19.44,2.26,3.08,201.0,0.57,6.37,6.97,0.36,11.2,0.57,15.57,85.0,36.0
Aaron Industries,Engineering,262.0,63.0,11.0,6.0,6.0,17.59,6.0,19.83,24.11,36.0,29.0,48.0,43.0,46.0,42.0,,,,32.0,36.0,1.47,7.34,17.0,3.0,75.0,4.99,1.58,8.11,275.0,4.34,49.09,-27.8,1.0,26.93,4.34,30.81,134.0,68.0
Aartech Solonics,Electric Equipment,203.0,33.0,0.0,1.0,1.0,1.44,1.0,9.37,8.25,44.0,18.0,302.0,32.0,302.0,32.0,,,,4.0,30.0,2.7,6.49,23.0,2.0,41.0,3.18,1.32,10.98,215.0,6.48,142.57,-346.34,5.17,59.14,6.48,70.19,41.0,28.0
Aarti Drugs,Pharmaceuticals - Indian - Bulk Drugs,527.0,2529.0,316.0,171.0,172.0,12.52,19.0,14.75,16.96,5.0,10.0,-15.0,14.0,-15.0,15.0,,,,564.0,1282.0,1.66,8.03,813.0,9.0,2432.0,3.29,1.89,5.71,4849.0,1.9,13.39,694.69,1.94,16.74,1.9,19.94,400.0,242.0
Aarti Industries,Chemicals,694.0,6372.0,975.0,416.0,416.0,15.3,11.0,7.41,13.24,12.0,9.0,-7.0,-3.0,-9.0,-4.0,9.0,10.0,10.0,3242.0,5290.0,0.96,2.87,1561.0,130.0,9616.0,7.79,1.72,6.02,25154.0,3.95,20.88,-98.86,-18.65,28.71,3.95,46.62,181.0,194.0
Aarti Pharma,Pharmaceuticals - Indian - Bulk Drugs & Formln,606.0,1853.0,386.0,217.0,217.0,20.84,24.0,16.65,17.38,,,,,,,,,,285.0,1757.0,1.94,18.46,920.0,24.0,2582.0,1.32,1.37,5.92,5490.0,2.97,25.46,-690.29,,14.76,2.97,18.17,284.0,323.0
Aarti Surfactant,Chemicals,685.0,590.0,63.0,22.0,22.0,10.68,26.0,14.37,10.61,8.0,17.0,1.0,40.0,1.0,,,,,99.0,219.0,1.54,3.36,120.0,6.0,423.0,4.45,1.88,5.01,579.0,0.98,11.15,31.59,0.64,10.61,0.98,14.21,551.0,392.0
Aarvee Denims,Textiles - Cotton/Blended,28.0,85.0,-31.0,-45.0,-45.0,-36.85,-19.0,-9.65,-8.72,-32.0,-35.0,10.0,,10.0,,-19.0,,,278.0,17.0,1.02,-0.99,140.0,2.0,438.0,-6.22,28.09,0.6,66.0,0.78,0.6,0.9,,-13.88,0.78,-9.41,,
Aarvi Encon,Miscellaneous,139.0,406.0,13.0,11.0,11.0,3.08,8.0,11.41,14.41,26.0,15.0,3.0,7.0,3.0,7.0,15.0,9.0,-26.0,10.0,117.0,2.56,9.23,92.0,23.0,171.0,0.86,1.41,6.16,206.0,0.51,65.53,-88.69,2.7,12.94,0.51,14.15,94.0,117.0
Aashka Hospitals,Healthcare,117.0,23.0,4.0,2.0,2.0,19.46,1.0,4.67,3.82,-17.0,-4.0,-17.0,12.0,-24.0,6.0,,,,20.0,96.0,0.65,1.98,6.0,2.0,121.0,8.64,1.36,5.13,274.0,11.99,24.35,-16.5,9.97,33.74,11.99,50.87,18.0,31.0
AastamangalamFin,Finance & Investments,44.0,7.0,6.0,4.0,4.0,91.47,4.0,9.32,6.51,126.0,46.0,96.0,52.0,53.0,31.0,10.0,9.0,1.0,40.0,38.0,2.57,4.01,4.0,6.0,81.0,11.17,1.87,1.85,39.0,5.61,-1.65,-2.37,0.21,11.42,5.61,11.46,131.0,62.0
Aatmaj Health,Healthcare,26.0,16.0,3.0,1.0,1.0,16.2,0.0,10.01,41.39,1.0,,-40.0,,-77.0,,,,,5.0,46.0,6.42,2.07,38.0,11.0,58.0,6.23,2.19,3.97,59.0,3.77,-7.41,-35.38,,15.88,3.77,20.85,36.0,14.0
AAVAS Financiers,Finance - Housing,1866.0,2018.0,1483.0,491.0,491.0,73.49,62.0,9.91,9.64,22.0,23.0,19.0,23.0,19.0,22.0,44.0,54.0,40.0,12398.0,3773.0,9.09,1.75,1947.0,1798.0,16519.0,25.27,3.97,2.31,14770.0,7.34,-7.45,-8.67,1.32,17.1,7.34,17.48,1126.0,816.0
Aayush Food&Herb,Trading,304.0,1.0,0.0,1.0,1.0,58.33,2.0,12.65,-2.37,-84.0,-66.0,11.0,-1.0,11.0,-1.0,35.0,,,0.0,5.0,5.6,,0.0,0.0,5.0,0.0,0.97,32.91,99.0,161.7,-167.86,144.97,-166.88,164.36,161.7,164.36,15.0,24.0
AB Cotspin,Textiles - Cotton/Blended,259.0,256.0,26.0,7.0,7.0,10.34,7.0,12.65,12.01,30.0,16.0,20.0,40.0,-25.0,5.0,,,,122.0,68.0,1.45,1.9,113.0,0.0,198.0,18.16,3.51,4.91,267.0,1.04,-8.29,-7.92,1.0,14.04,1.04,21.82,142.0,99.0
Aban Offshore,Oil Drilling / Allied Services,66.0,400.0,-154.0,-1318.0,-1318.0,-38.64,-226.0,,0.0,-28.0,-14.0,10.0,12.0,10.0,12.0,-20.0,,,15308.0,-23872.0,0.02,-0.19,-9513.0,44.0,1515.0,-11.62,-0.07,-29.37,382.0,0.96,-5.29,0.95,,-147.12,0.96,-76.89,,
ABans Enterprise,Trading,135.0,1771.0,30.0,9.0,10.0,1.7,7.0,10.71,10.97,-24.0,,-34.0,,-34.0,,,,,155.0,186.0,1.69,2.75,289.0,17.0,445.0,15.9,2.03,6.25,188.0,0.1,3.11,6.2,,9.3,0.1,9.77,108.0,141.0
Abans Holdings,Finance & Investments,474.0,1378.0,150.0,82.0,89.0,10.88,16.0,9.2,9.18,1.0,-21.0,25.0,18.0,22.0,-78.0,,,,929.0,931.0,1.6,2.95,1733.0,289.0,2897.0,10.41,2.56,3.17,2379.0,1.78,55.07,16.53,1.64,20.38,1.78,20.46,170.0,261.0
Abate As Indust,Trading,29.0,0.0,-1.0,-1.0,-1.0,,-2.0,-191.58,-103.09,,,,,,,,,,1.0,-1.0,0.19,,0.0,0.0,0.0,-1.34,-0.53,57.75,14.0,,17.29,126.62,,-17.09,,-17.09,,
Abbott India,Pharmaceuticals - Multinational,27686.0,5849.0,1453.0,1201.0,1201.0,24.84,565.0,46.03,41.84,11.0,10.0,20.0,22.0,20.0,22.0,10.0,20.0,20.0,83.0,3699.0,2.42,130.94,1950.0,2134.0,5193.0,0.07,1.32,21.73,58833.0,10.05,48.37,60.11,2.22,33.36,10.05,34.82,8222.0,4705.0
ABC Gas (Int.),Trading,92.0,0.0,-1.0,-1.0,0.0,-5300.0,1.0,-13.53,-20.8,-71.0,-58.0,-17.0,,-17.0,,-43.0,,,0.0,4.0,57.29,-56.0,4.0,4.0,4.0,0.0,1.1,9.29,18.0,1813.0,5.72,14.24,,-27.23,1813.0,-25.77,13.0,22.0
ABC India,Miscellaneous,112.0,165.0,6.0,2.0,2.0,3.55,4.0,8.1,8.37,-1.0,-1.0,-4.0,-15.0,-4.0,-15.0,0.0,8.0,8.0,21.0,45.0,1.62,2.34,45.0,3.0,99.0,9.06,2.06,4.01,61.0,0.37,8.03,31.1,-1.8,12.27,0.37,15.15,74.0,89.0
Abhinav Capital,Finance & Investments,208.0,15.0,14.0,9.0,9.0,93.0,13.0,16.26,18.21,68.0,31.0,93.0,29.0,93.0,29.0,48.0,69.0,69.0,38.0,77.0,3.25,4.27,122.0,51.0,122.0,4.05,1.22,4.47,144.0,9.41,4.09,14.44,0.54,9.16,9.41,9.16,245.0,183.0
Abhinav Leasing,Finance & Investments,3.0,34.0,2.0,0.0,0.0,5.81,0.0,9.83,24.44,-23.0,40.0,24.0,60.0,24.0,60.0,61.0,33.0,5.0,30.0,6.0,1.15,1.13,1.0,1.0,45.0,176.76,9.21,1.62,13.0,0.41,-0.76,-6.54,1.35,20.4,0.41,20.8,2.0,1.0
Abhishek Finle.,Finance & Investments,37.0,1.0,0.0,0.0,0.0,15.79,0.0,6.19,4.56,18.0,4.0,24.0,39.0,24.0,39.0,13.0,13.0,13.0,0.0,4.0,7.3,,2.0,2.0,5.0,0.06,1.07,7.5,16.0,16.61,37.88,49.21,1.91,45.97,16.61,51.07,13.0,10.0
Abhishek Infra.,Construction,7.0,0.0,-0.0,-0.0,-0.0,,-1.0,-4.86,-4.86,,,6.0,,14.0,,,,,1.0,4.0,2.94,,5.0,0.0,8.0,-4.65,1.93,2.11,4.0,,-7.6,-7.76,,-18.19,,-18.19,,
Abhishek Integr.,Construction,69.0,25.0,2.0,1.0,1.0,6.88,1.0,14.25,12.65,121.0,235.0,86.0,,62.0,,,,,6.0,6.0,2.37,2.32,12.0,1.0,16.0,7.3,1.68,7.44,42.0,1.64,56.31,-26.83,,24.4,1.64,26.17,56.0,21.0
Abirami Fin.,Finance & Investments,58.0,0.0,-1.0,1.0,1.0,,3.0,5.12,42.1,,,141.0,136.0,149.0,141.0,,20.0,21.0,0.0,21.0,44.78,110.0,20.0,19.0,21.0,0.0,1.15,5.05,31.0,,-65.48,6.01,0.16,11.32,,11.42,,48.0
ABM Knowledge,Computers - Software - Medium / Small,148.0,79.0,14.0,15.0,15.0,17.62,7.0,8.86,9.15,2.0,7.0,-9.0,-1.0,-9.0,-1.0,-0.0,0.0,0.0,0.0,222.0,8.75,73.65,152.0,16.0,253.0,0.0,1.11,4.36,296.0,3.72,92.66,95.69,-16.82,13.62,3.72,14.45,151.0,136.0
ABS Marine,Shipping,357.0,135.0,45.0,24.0,25.0,33.2,,20.01,11.24,15.0,,165.0,,,,,,,46.0,117.0,1.73,6.67,41.0,7.0,185.0,1.8,1.54,10.04,876.0,6.48,75.92,78.22,,19.98,6.48,28.34,,
ACC,Cement - North India,2650.0,19959.0,3062.0,2156.0,2337.0,15.34,124.0,17.27,15.28,13.0,6.0,12.0,7.0,12.0,7.0,6.0,7.0,7.0,355.0,16330.0,1.47,17.31,3002.0,1863.0,23386.0,0.15,1.35,5.76,49764.0,2.49,16.6,1328.73,3.19,13.55,2.49,18.02,1377.0,1560.0
Accedere,Computers - Software - Medium / Small,86.0,3.0,-0.0,-0.0,-0.0,-0.39,-0.0,-1.57,-1.67,65.0,11.0,,,,,,,,0.0,4.0,7.04,-7.0,3.0,2.0,5.0,-3.0,1.16,17.34,43.0,16.8,194.32,246.63,,292.29,16.8,-584.57,,
Accel,Computers - Software - Medium / Small,22.0,167.0,17.0,4.0,3.0,10.18,1.0,8.99,9.0,33.0,90.0,40.0,24.0,40.0,24.0,,,,74.0,65.0,1.02,1.68,22.0,10.0,188.0,22.45,2.85,2.82,129.0,0.77,5.51,15.24,1.5,10.19,0.77,15.96,24.0,12.0
AccelerateBS Ind,Computers - Software - Medium / Small,339.0,7.0,2.0,0.0,0.0,28.17,0.0,70.92,70.92,,,,,,,,,,1.0,4.0,31.29,89.0,4.0,2.0,5.0,18.0,1.33,28.76,73.0,10.74,-63.0,,,36.87,10.74,39.98,47.0,8.0
Accelya Solution,Computers - Software - Medium / Small,1742.0,506.0,194.0,116.0,95.0,38.41,63.0,56.12,38.52,4.0,4.0,11.0,6.0,11.0,6.0,4.0,3.0,3.0,11.0,289.0,3.63,121.64,198.0,81.0,370.0,0.09,1.34,15.91,2601.0,5.15,19.48,26.3,3.89,12.45,5.15,14.68,1240.0,526.0
Accent Microcell,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,246.0,39.0,31.0,30.0,16.08,14.0,57.75,35.39,23.0,,86.0,,10.0,,,,,13.0,156.0,4.32,33.63,137.0,72.0,205.0,0.42,2.58,8.36,598.0,2.43,196.83,143.14,,12.48,2.43,13.91,361.0,158.0
Accord Synergy,Telecommunications - Service Provider,28.0,32.0,1.0,0.0,0.0,1.91,1.0,2.57,-8.76,-7.0,-16.0,-26.0,-35.0,-26.0,-35.0,,,,0.0,15.0,6.54,37.0,14.0,0.0,18.0,0.0,1.2,4.89,10.0,0.31,26.07,270.14,-0.72,13.07,0.31,26.49,20.0,33.0
Accuracy Shippi.,Miscellaneous,14.0,708.0,24.0,0.0,0.0,3.39,0.0,5.29,11.7,24.0,16.0,-62.0,-43.0,-62.0,-43.0,,,,109.0,116.0,1.61,1.04,160.0,12.0,278.0,218.58,2.43,5.12,204.0,0.29,7.28,70.38,-9.52,12.18,0.29,25.7,2.0,2.0
ACE EduTremd Ltd,Miscellaneous,3.0,0.0,-0.0,-0.0,-0.0,,-0.0,-1.13,-2.32,,,14.0,11.0,14.0,11.0,,,,0.0,9.0,1.45,,2.0,0.0,13.0,0.0,1.46,1.48,3.0,,147.2,883.2,,-58.2,,-29.1,,
Ace Engitech,Computers - Software - Medium / Small,22.0,0.0,-0.0,-0.0,-0.0,,-0.0,-23.62,-11.73,,,14.0,12.0,14.0,12.0,,,,0.0,1.0,1.73,,0.0,0.0,1.0,0.0,1.92,13.45,7.0,,-88.94,-194.04,,-46.8,,-46.8,,
Ace Integrated,Computers - Software - Medium / Small,34.0,9.0,0.0,0.0,0.0,1.09,0.0,2.06,4.68,11.0,13.0,43.0,3.0,43.0,3.0,-4.0,-10.0,,0.0,19.0,12.26,19.5,13.0,3.0,20.0,0.49,1.08,5.28,35.0,3.81,96.76,87.81,32.19,58.91,3.81,81.56,19.0,13.0
Ace Men,Trading,44.0,0.0,-0.0,0.0,0.0,,0.0,3.66,7.88,,,-28.0,,-28.0,28.0,,,,0.0,4.0,0.04,4.67,-1.0,0.0,5.0,0.0,1.45,6.09,14.0,,1425.69,2138.54,,101.5,,101.5,17.0,9.0
Ace Soft. Exp.,Computers - Software - Medium / Small,239.0,24.0,1.0,5.0,5.0,2.45,8.0,21.01,5.79,39.0,24.0,112.0,53.0,96.0,46.0,18.0,23.0,19.0,2.0,30.0,3.11,45.54,12.0,5.0,40.0,0.36,1.01,8.84,153.0,6.58,-46.99,209.87,0.6,23.09,6.58,25.82,76.0,90.0
Achyut Healthcar,Trading,57.0,6.0,0.0,1.0,1.0,0.33,0.0,5.09,3.29,183.0,56.0,285.0,126.0,11.0,27.0,,,,0.0,23.0,107.35,,21.0,0.0,31.0,0.0,1.06,7.09,95.0,15.54,-264.6,-16.7,1.33,126.71,15.54,128.42,7.0,12.0
ACI Infocom,Computers - Software - Medium / Small,2.0,1.0,0.0,0.0,0.0,19.35,0.0,1.07,0.73,165.0,-25.0,-21.0,55.0,-21.0,55.0,,-5.0,-5.0,0.0,17.0,87.88,,7.0,0.0,17.0,0.0,1.01,4.51,27.0,28.99,6.28,34.27,5.43,149.67,28.99,149.67,0.0,1.0
Acknit Indus.,Textiles - Products,312.0,221.0,17.0,9.0,9.0,7.65,28.0,11.04,11.88,9.0,5.0,13.0,13.0,13.0,13.0,5.0,13.0,11.0,59.0,79.0,1.53,5.82,98.0,1.0,156.0,6.85,1.83,4.15,95.0,0.43,-10.97,-61.99,0.87,8.91,0.43,11.03,290.0,405.0
Acme Resources,Finance & Investments,34.0,10.0,3.0,2.0,2.0,28.63,1.0,2.12,6.47,13.0,3.0,28.0,17.0,28.0,17.0,-11.0,-17.0,-17.0,12.0,127.0,17.89,10.43,18.0,0.0,144.0,6.87,1.12,2.46,89.0,8.71,-82.59,-35.99,2.99,33.11,8.71,33.11,30.0,27.0
Acrow India,Diversified - Medium / Small,750.0,0.0,-2.0,1.0,1.0,,16.0,2.68,-0.98,,,68.0,34.0,68.0,34.0,,14.0,14.0,0.0,23.0,35.85,,18.0,0.0,24.0,0.0,0.99,5.65,48.0,,-55.61,-184.86,1.42,53.44,,79.72,215.0,361.0
Action Const.Eq.,Engineering,1461.0,2914.0,403.0,328.0,328.0,13.84,28.0,42.25,29.97,33.0,17.0,63.0,43.0,60.0,42.0,17.0,60.0,57.0,4.0,1230.0,1.38,19.73,352.0,110.0,2169.0,0.01,1.53,15.85,17397.0,5.97,40.12,92.29,1.25,35.97,5.97,37.8,663.0,253.0
Active Clothing,Textiles - Products,98.0,212.0,21.0,5.0,5.0,9.85,3.0,9.36,7.57,43.0,7.0,333.0,10.0,333.0,10.0,,,,86.0,69.0,1.35,1.73,99.0,0.0,220.0,17.67,2.88,3.26,151.0,0.72,7.32,58.45,3.23,11.2,0.72,17.03,35.0,56.0
